trail,projectile,sprite,minLength,fadeIn,duration,fadeOut,sizeIn,sizeOut,colorIn,colorOut,opacity,textLength,textScroll,randomTextureOffset,distance,dispersion,drift,fadeOnFadeOut,angleAdjustment,additive,velocityIn,velocityOut,randomVelocity,angle,rotationIn,rotationOut,randomRotation,renderBelowExplosions
tahlan_gleipnir_trail_glow,tahlan_gleipnir_shot,tahlan_trail_zappy,10,0,0.05,0.2,50,10,"[140,215,255]","[140,215,255]",0.5,300,500,true,30,0,0,TRUE,TRUE,TRUE,0,0,0,0,0,0,false,false
tahlan_gleipnir_trail,tahlan_gleipnir_shot,tahlan_trail_zappy,10,0.05,0,0.8,20,4,"[140,190,255]","[150,150,205]",0.4,300,500,true,30,0,0,TRUE,TRUE,TRUE,0,0,0,0,0,0,false,false
tahlan_gleipnir_trail_rings,tahlan_gleipnir_shot,tahlan_trail_rings,10,0,0,0.7,25,50,"[100,180,255]","[150,150,255]",0.5,128,64,true,0,0,0,TRUE,TRUE,TRUE,0,0,0,0,0,0,false,false
tahlan_gleipnir_trail_smoke1,tahlan_gleipnir_shot,tahlan_trail_contrail,10,0.05,0.5,2,15,5,"[120,120,180]","[50,50,50]",0.2,300,500,true,20,0,0,TRUE,TRUE,TRUE,20,60,0.4,0,0,200,true,false
tahlan_gleipnir_trail_smoke2,tahlan_gleipnir_shot,tahlan_trail_contrail,10,0.05,0.5,2,15,5,"[120,120,180]","[50,50,50]",0.2,300,500,true,20,0,0,TRUE,TRUE,TRUE,20,60,0.4,0,0,200,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_gleipnir_dummy_trail_glow,tahlan_gleipnir_dummy_shot,tahlan_trail_zappy,10,0,0.05,0.2,60,10,"[255,45,0]","[255,45,0]",0.5,300,500,true,30,0,0,TRUE,TRUE,TRUE,0,0,0,0,0,0,false,false
tahlan_gleipnir_dummy_trail,tahlan_gleipnir_dummy_shot,tahlan_trail_zappy,10,0.05,0,0.8,20,4,"[255,180,100]","[255,150,150]",0.4,300,500,true,30,0,0,TRUE,TRUE,TRUE,0,0,0,0,0,0,false,false
tahlan_gleipnir_dummy_trail_dhelix,tahlan_gleipnir_dummy_shot,tahlan_trail_dhelix,10,0.05,0,1.4,10,50,"[255,180,100]","[200,150,150]",0.5,200,250,true,0,0,0,TRUE,TRUE,TRUE,0,0,0,0,0,0,false,false
tahlan_gleipnir_dummy_trail_smoke1,tahlan_gleipnir_dummy_shot,tahlan_trail_contrail,10,0.05,0.5,2,15,5,"[180,120,120]","[50,50,50]",0.2,300,500,true,20,0,0,TRUE,TRUE,TRUE,20,60,0.4,0,0,200,true,false
tahlan_gleipnir_dummy_trail_smoke2,tahlan_gleipnir_dummy_shot,tahlan_trail_contrail,10,0.05,0.5,2,15,5,"[180,120,120]","[50,50,50]",0.2,300,500,true,20,0,0,TRUE,TRUE,TRUE,20,60,0.4,0,0,200,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_karion_trail,tahlan_karion_msl,tahlan_trail_zappy,10,0.05,0,0.7,15,4,"[50,185,255]","[100,205,255]",0.4,300,500,true,30,0,0.5,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
tahlan_karion_trail_glow,tahlan_karion_msl,tahlan_trail_zappy,10,0,0.05,0.2,30,10,"[50,180,255]","[100,205,255]",0.4,300,500,true,30,0,0.5,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
tahlan_karion_trail_smoke1,tahlan_karion_msl,tahlan_trail_zappy,10,0.05,0.5,0.8,10,4,"[255,255,255]","[0,0,255]",0.4,300,500,true,30,0,0.5,TRUE,FALSE,TRUE,0,60,0.4,0,0,200,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_balor_trail,tahlan_balor_shot,tahlan_trail_zappy,10,0.05,0,1.4,12,4,"[255,100,105]","[245,20,205]",0.4,300,500,true,10,0,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_tethra_trail,tahlan_tethra_shot,tahlan_trail_zappy,10,0.05,0,1.1,10,4,"[255,100,105]","[245,20,205]",0.4,300,500,true,10,0,0,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#tahlan_conand_trail,tahlan_conand_shot,tahlan_trail_smooth,30,0,0,0.3,2,5,"[185,185,185]","[50,50,50]",0.3,300,-300,true,0,5,0,TRUE,TRUE,TRUE,20,60,0.3,0,0,0,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_hagel_trail,tahlan_hagel_shot,tahlan_trail_smooth,30,0,0,0.5,5,5,"[185,185,185]","[50,50,50]",0.3,300,-300,true,0,5,0,TRUE,TRUE,TRUE,20,60,0.3,0,0,0,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#tahlan_stahl_trail,tahlan_stahl_shot,tahlan_trail_smooth,30,0,0,0.3,4,4,"[185,185,185]","[50,50,50]",0.3,300,-300,true,0,5,0,TRUE,TRUE,TRUE,20,60,0.3,0,0,0,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_hueter_trail,tahlan_hueter_shot,tahlan_trail_smooth,10,0,0,0.3,6,3,"[143,255,238]","[50,50,50]",0.4,300,-300,true,0,0,0,TRUE,TRUE,TRUE,0,0,0,0,0,0,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_fountain_trail_glow,tahlan_fountain_msl,tahlan_trail_zappy,10,0,0.05,0.3,20,10,"[255,100,0]","[255,100,0]",0.4,300,500,true,0,0,0,TRUE,FALSE,TRUE,100,50,0,0,0,0,false,false
tahlan_fountain_trail,tahlan_fountain_msl,tahlan_trail_zappy,10,0.05,0.5,0.8,8,4,"[245,120,40]","[205,40,0]",0.3,300,500,true,0,0,0,TRUE,FALSE,TRUE,100,50,0.05,0,0,100,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_schwalbe_trail_glow,tahlan_schwalbe_msl,tahlan_trail_zappy,10,0,0.05,0.3,20,10,"[255,240,150]","[205,240,150]",0.4,300,500,true,0,0,0,TRUE,FALSE,TRUE,100,50,0,0,0,0,false,false
tahlan_schwalbe_trail,tahlan_schwalbe_msl,tahlan_trail_zappy,10,0.05,0.5,0.8,8,4,"[255,240,150]","[65,190,255]",0.3,300,500,true,0,0,0,TRUE,FALSE,TRUE,100,50,0.05,0,0,100,true,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_disparax_trail,tahlan_disparax_shot,tahlan_trail_zappy,10,0.05,0,0.6,25,15,"[141,255,28]","[55,155,255]",0.4,300,500,true,30,10,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_velvet_trail,tahlan_velvet_shot,tahlan_trail_foggy,10,0.1,0,0.02,50,5,"[255,168,38]","[255,148,18]",0.7,200,1000,true,25,5,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tahlan_pastel_trail,tahlan_pastel_shot,tahlan_trail_foggy,10,0.1,0,0.02,50,5,"[57,255,255]","[57,205,205]",0.7,200,1000,true,25,5,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#tahlan_cashmere_trail,tahlan_cashmere_shot,tahlan_trail_foggy,10,0.2,0.05,0.05,80,5,"[185,52,255]","[165,52,255]",0.7,200,1600,true,50,5,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
#tahlan_cashmere_trail2,tahlan_cashmere_shot,tahlan_trail_foggy,10,0.2,0.07,0.1,120,15,"[150,59,255]","[150,59,255]",0.5,200,1200,true,50,5,1,TRUE,FALSE,TRUE,0,0,0,0,0,0,false,false
